"Seed Angle","Keyword","Search Volume","CPC","Competition Level"
"paraşüt entegrasyon","paraşüt",246000,0.07,"MEDIUM"
"paraşüt entegrasyon","bizim hesap",110000,0.08,"LOW"
"paraşüt entegrasyon","yengeç burcu",40500,0.69,"LOW"
"n8n","n8n",40500,0.24,"MEDIUM"
"whatsapp sipariş","whatsapp business",40500,0.73,"LOW"
"paraşüt entegrasyon","paraşüt giriş",22200,0.86,"LOW"
"yapay zeka video","yapay zeka video oluşturma",22200,1.48,"HIGH"
"yapay zeka video","yapay zeka video oluşturucu",22200,1.48,"HIGH"
"paraşüt entegrasyon","paraşüt atlas",14800,0.76,"LOW"
"whatsapp sipariş","whatsapp business web",14800,0.57,"LOW"
"yapay zeka video","yapay zeka video",9900,0.92,"MEDIUM"
"salesforce türkiye","salesforce",8100,5.33,"MEDIUM"
"whatsapp bot","whatsapp meta al nasıl silinir",6600,0.00,"LOW"
"maliyet düşürme","hisse maliyet hesaplama",6600,0.35,"LOW"
"zapier","zapier",5400,0.43,"MEDIUM"
"zaman tasarrufu","su tasarrufu",5400,0.45,"LOW"
"whatsapp bot","whatsapp meta al nedir",4400,0.07,"LOW"
"yapay zeka video","yapay zeka video yapma ücretsiz",4400,0.79,"HIGH"
"paraşüt entegrasyon","paraşüt muhasebe",3600,0.78,"MEDIUM"
"paraşüt entegrasyon","paraşüt portal",3600,0.60,"LOW"
"salesforce türkiye","salesforce login",3600,1.46,"LOW"
"paraşüt entegrasyon","paraşüt müşteri hizmetleri",2900,1.84,"LOW"
"n8n","n8n nedir",2900,0.40,"LOW"
"yapay zeka video","ücretsiz yapay zeka video oluşturma",2900,1.01,"HIGH"
"maliyet düşürme","borsada maliyet hesaplama",2400,0.50,"LOW"
"maliyet düşürme","borsa maliyet hesaplama",2400,0.50,"LOW"
"zaman tasarrufu","tasarruf nedir",2400,0.00,"LOW"
"yapay zeka video","video oluşturan yapay zeka",2400,0.72,"HIGH"
"paraşüt entegrasyon","paraşüt e-fatura",1900,0.34,"MEDIUM"
"paraşüt entegrasyon","paraşüt iletişim",1900,0.67,"LOW"
"yapay zeka video","fotoğraftan video yapma yapay zeka",1900,0.82,"MEDIUM"
"yapay zeka video","yapay zeka ile video oluşturma siteleri",1600,0.77,"MEDIUM"
"ideasoft entegrasyon","pazaryeri entegrasyon",1300,3.94,"MEDIUM"
"whatsapp sipariş","whatsapp business apk",1300,0.29,"LOW"
"zaman tasarrufu","su tasarrufu için neler yapmalıyız",1300,0.16,"LOW"
"salesforce türkiye","emin evren özcan",1000,0.26,"LOW"
"zapier","ifttt",1000,1.54,"LOW"
"whatsapp bot","whatsapp yapay zeka numarası",1000,0.33,"LOW"
"whatsapp sipariş","whatsapp business ücretli mi",1000,0.65,"LOW"
"maliyet düşürme","ortalama maliyet hesaplama",1000,0.48,"LOW"
"maliyet düşürme","hissede maliyet düşürme hesaplama",880,0.37,"LOW"
"zaman tasarrufu","su tasarrufu örnekleri",880,0.23,"LOW"
"zaman tasarrufu","su tasarrufu ile ilgili ödev",880,0.00,"LOW"
"zaman tasarrufu","su sorunu ve su tasarrufu",880,0.00,"LOW"
"yapay zeka video","ücretsiz yapay zeka video",880,0.75,"MEDIUM"
"zaman tasarrufu","su tasarrufu nedir",720,0.01,"LOW"
"zaman tasarrufu","su tasarrufu ile ilgili projeler",720,0.22,"LOW"
"yapay zeka video","fotoğraftan video yapma yapay zeka ücretsiz",720,0.90,"MEDIUM"
"yapay zeka video","yapay zeka video edit",720,0.97,"HIGH"
"n8n","n8n github",590,0.37,"LOW"
"whatsapp bot","whatsapp meta ai nasıl kullanılır",590,0.10,"LOW"
"whatsapp bot","whatsapp meta al nasıl silinir android",590,0.00,"LOW"
"whatsapp bot","whatsapp meta nedir",590,0.00,"LOW"
"yapay zeka video","en iyi yapay zeka video oluşturucu",590,1.53,"HIGH"
"yapay zeka video","en iyi yapay zeka video oluşturma",590,1.53,"HIGH"
"paraşüt entegrasyon","yengeç entegrasyon",480,0.24,"MEDIUM"
"maliyet düşürme","maliyet düşürme",480,0.00,"LOW"
"zaman tasarrufu","su tasarrufu afiş",480,0.00,"LOW"
"yapay zeka video","yapay zeka ile metinden video oluşturma ücretsiz",480,0.97,"MEDIUM"
"trendyol entegrasyon","trendyol entegrasyon",390,3.63,"MEDIUM"
"trendyol entegrasyon","trendyol entegrasyonu",390,3.63,"MEDIUM"
"n8n","n8n otomasyonları",390,0.69,"MEDIUM"
"whatsapp bot","whatsapp bot",390,1.93,"MEDIUM"
"whatsapp sipariş","whatsapp business giriş",390,0.45,"LOW"
"otomatik mesaj","whatsapp business otomatik mesaj",390,1.23,"LOW"
"zaman tasarrufu","su tasarrufu nasıl yapılır",390,0.00,"LOW"
"paraşüt entegrasyon","paraşüt api",320,0.00,"LOW"
"whatsapp bot","whatsapp meta al ne demek",320,0.21,"LOW"
"whatsapp bot","whatsapp yapay zeka kapatma",320,0.02,"LOW"
"whatsapp sipariş","whatsapp business indir pc",320,0.57,"LOW"
"otomatik mesaj","whatsapp ileri tarihli mesaj gönderme iphone",320,0.00,"LOW"
"maliyet düşürme","hisse maliyet düşürme",320,1.40,"LOW"
"zaman tasarrufu","tasarruf nedir örnekler",320,0.00,"LOW"
"salesforce türkiye","inspark",260,0.07,"LOW"
"zapier","zapier nedir",260,0.54,"MEDIUM"
"whatsapp bot","meta ai whatsapp kapatma",260,0.00,"LOW"
"otomatik mesaj","iphone arama reddetme çıkmıyor",260,0.00,"LOW"
"otomatik mesaj","iphone meşgule atma sorunu",260,0.00,"LOW"
"zaman tasarrufu","su tasarrufu ile ilgili kısa bilgi",260,0.00,"LOW"
"yapay zeka video","yapay zeka video oluşturma programı",260,1.00,"HIGH"
"yapay zeka video","google yapay zeka video oluşturma",260,0.59,"MEDIUM"
"n8n","n8n self-hosted",210,1.16,"LOW"
"whatsapp bot","whatsapp meta ai nasıl açılır",210,0.14,"LOW"
"whatsapp bot","whatsapp meta al güvenilir mi",210,0.00,"LOW"
"whatsapp sipariş","whatsapp yemek",210,0.34,"LOW"
"whatsapp sipariş","whatsapp business pc",210,0.49,"LOW"
"yapay zeka video","yapay zeka video edit ücretsiz",210,0.70,"MEDIUM"
"paraşüt entegrasyon","pazaryeri entegrasyon firmaları",170,4.66,"HIGH"
"zapier","zapier ai",170,1.70,"MEDIUM"
"whatsapp sipariş","whatsapp sipariş",170,0.48,"LOW"
"otomatik mesaj","whatsapp otomatik mesaj örnekleri",170,0.20,"LOW"
"otomatik mesaj","gelen aramaya cevap vermediğim arayana otomatik mesaj gönderme iphone",170,0.00,"LOW"
"otomatik mesaj","iphone arama cevaplama şekli değiştirme",170,0.00,"LOW"
"zaman tasarrufu","doğalgaz tasarrufu için neler yapmalıyız",170,0.00,"LOW"
"yapay zeka video","yapay zeka ile video oluşturma nasıl yapılır",170,0.75,"MEDIUM"
"paraşüt entegrasyon","e-ticaret entegrasyon programları",140,5.89,"MEDIUM"
"trendyol entegrasyon","logo entegrasyon",140,1.74,"MEDIUM"
"salesforce türkiye","ritmus",140,0.21,"LOW"
"ideasoft entegrasyon","pazaryeri entegrasyon programı",140,4.60,"HIGH"
"ideasoft entegrasyon","pazaryeri entegrasyon programları",140,4.60,"HIGH"
"whatsapp sipariş","whatsapp business aç",140,0.76,"MEDIUM"
"otomatik mesaj","otomatik mesaj",140,0.00,"LOW"
"otomatik mesaj","otomatik mesaj örnekleri",140,0.00,"LOW"
"otomatik mesaj","whatsapp karşılama mesajı örnekleri",140,0.00,"LOW"
"otomatik mesaj","iphone arama reddetme ayarları",140,0.00,"LOW"
"dijital dönüşüm danışmanlık","dijital dönüşüm danışmanlık",140,3.88,"MEDIUM"
"maliyet düşürme","hisse maliyet hesaplama robotu",140,0.80,"MEDIUM"
"zaman tasarrufu","doğalgaz ile ilgili sloganlar",140,0.00,"LOW"
"paraşüt entegrasyon","paraşüt entegrasyon",110,0.62,"MEDIUM"
"trendyol entegrasyon","payer entegrasyon",110,1.32,"MEDIUM"
"n8n","n8n kurulum",110,0.89,"LOW"
"zapier","zapier pricing",110,0.66,"MEDIUM"
"ideasoft entegrasyon","ideasoft entegrasyon",110,1.66,"MEDIUM"
"whatsapp bot","whatsapp yapay zeka nasıl kullanılır",110,0.28,"MEDIUM"
"whatsapp bot","whatsapp yapay zeka nasıl açılır",110,0.41,"LOW"
"whatsapp bot","whatsapp yapay zeka nasıl eklenir",110,0.39,"LOW"
"whatsapp bot","whatsapp meta al nedir nasıl kapatılır",110,0.00,"LOW"
"whatsapp bot","whatsapp meta al kapatma iphone",110,0.00,"LOW"
"otomatik mesaj","whatsapp otomatik mesaj cevaplama",110,0.08,"LOW"
"otomatik mesaj","whatsapp otomatik mesaj gönderme iphone",110,0.00,"LOW"
"otomatik mesaj","whatsapp otomatik mesaj kapatma",110,1.14,"LOW"
"otomatik mesaj","whatsapp business otomatik mesaj ayarlama",110,0.81,"LOW"
"maliyet düşürme","borsada maliyet düşürme",110,0.55,"LOW"
"yapay zeka video","yapay zeka ile video oluşturma siteleri ücretsiz",110,0.71,"MEDIUM"
"n8n","n8n ücretli mi",90,0.46,"LOW"
"zapier","integromat",90,0.55,"MEDIUM"
"ideasoft entegrasyon","e-ticaret pazaryeri entegrasyonu",90,2.54,"MEDIUM"
"whatsapp bot","whatsapp meta kaldırma",90,0.00,"LOW"
"whatsapp bot","whatsapp meta ai nasıl kapatilir",90,0.00,"LOW"
"otomatik mesaj","en güzel karşılama mesajları",90,0.00,"LOW"
"otomatik mesaj","whatsapp otomatik mesaj ayarlama",90,0.00,"LOW"
"maliyet düşürme","borsada maliyet düşürme mantıklı mı",90,0.00,"LOW"
"zaman tasarrufu","niçin tasarruf yapmalıyız",90,0.00,"LOW"
"zaman tasarrufu","bütçe yaparken neden tasarruf yapmalıyız",90,0.00,"UNKNOWN"
"yapay zeka video","yapay zeka video edit programı",90,1.39,"HIGH"
"paraşüt entegrasyon","e-ticaret entegrasyon tavsiye",70,4.12,"MEDIUM"
"paraşüt entegrasyon","paraşüt entegratör",70,0.46,"MEDIUM"
"salesforce türkiye","salesforce türkiye",70,5.66,"HIGH"
"ideasoft entegrasyon","en iyi pazaryeri entegrasyon",70,3.28,"MEDIUM"
"ideasoft entegrasyon","en iyi entegrasyon firması",70,3.16,"MEDIUM"
"ideasoft entegrasyon","en iyi entegrasyon firmaları",70,3.16,"MEDIUM"
"ideasoft entegrasyon","entegrasyon firması",70,3.25,"MEDIUM"
"whatsapp bot","whatsapp bot ücretsiz",70,1.07,"HIGH"
"whatsapp bot","whatsapp meta indir",70,0.34,"LOW"
"whatsapp bot","meta ai whatsapp nasıl silinir",70,0.00,"LOW"
"whatsapp bot","www meta ai whatsapp",70,0.60,"LOW"
"whatsapp sipariş","whatsapp sipariş hattı oluşturma",70,0.58,"MEDIUM"
"otomatik mesaj","whatsapp business karşılama mesajı örnekleri",70,0.22,"LOW"
"otomatik mesaj","whatsapp business karşılama mesajı nasıl yapılır",70,0.00,"LOW"
"maliyet düşürme","borsa maliyet düşürme hesaplama programı",70,0.70,"MEDIUM"
"zaman tasarrufu","zaman tasarrufu",70,0.00,"LOW"
"zaman tasarrufu","tasarruflu olmak için neler yapmalıyız",70,0.00,"LOW"
"zaman tasarrufu","su tasarrufu görselleri",70,0.00,"LOW"
"zaman tasarrufu","evde doğalgaz tasarrufu nasıl yapılır",70,0.02,"LOW"
"yapay zeka video","video edit yapan yapay zeka",70,0.88,"HIGH"
"yapay zeka video","yapay zeka video oluşturma chatgpt",70,0.57,"MEDIUM"
"paraşüt entegrasyon","paraşüt ticimax",50,0.60,"MEDIUM"
"paraşüt entegrasyon","yengeç iletişim",50,0.02,"LOW"
"paraşüt entegrasyon","paraşüt satış",50,0.02,"LOW"
"paraşüt entegrasyon","e-ticaret entegrasyon fiyatları",50,1.71,"MEDIUM"
"trendyol entegrasyon","trendyol entegrasyon firmaları",50,4.23,"MEDIUM"
"trendyol entegrasyon","trendyol entegrasyon nasıl yapılır",50,2.83,"MEDIUM"
"trendyol entegrasyon","trendyol api entegrasyonu",50,5.44,"MEDIUM"
"salesforce türkiye","salesforce eğitimi",50,1.55,"MEDIUM"
"n8n","n8n kullanımı",50,0.62,"MEDIUM"
"ideasoft entegrasyon","e-ticaret entegrasyon programları ücretsiz",50,3.11,"HIGH"
"ideasoft entegrasyon","e-ticaret entegrasyon nedir",50,1.49,"MEDIUM"
"whatsapp bot","whatsapp bot ekleme",50,0.86,"MEDIUM"
"whatsapp bot","whatsapp meta al nasıl yapılır",50,0.00,"LOW"
"whatsapp bot","whatsapp meta al nasıl yüklenir",50,0.15,"LOW"
"whatsapp sipariş","whatsapp yemek siparişi",50,0.88,"LOW"
"otomatik mesaj","arayana otomatik mesaj gönderme",50,0.00,"LOW"
"otomatik mesaj","whatsapp otomatik mesaj android",50,0.06,"LOW"
"otomatik mesaj","whatsapp hazır mesaj oluşturma",50,1.38,"LOW"
"otomatik mesaj","hazır mesaj örnekleri",50,0.00,"LOW"
"otomatik mesaj","iphone otomatik cevaplama kapatma",50,0.00,"LOW"
"maliyet düşürme","coin maliyet düşürme hesaplama",50,0.00,"LOW"
"maliyet düşürme","ortalama maliyet hesaplama programı",50,0.54,"LOW"
"zaman tasarrufu","zaman tasarrufu nedir",50,0.00,"LOW"
"zaman tasarrufu","doğalgaz tasarrufu ile ilgili cümleler",50,0.00,"LOW"
"zaman tasarrufu","tasarruf etmek neden önemlidir",50,0.00,"LOW"
"zaman tasarrufu","tasarruf yapmanın faydaları nelerdir",50,0.00,"LOW"
"zaman tasarrufu","okulda su tasarrufu nasıl yapılır",50,0.00,"LOW"
"zaman tasarrufu","doğalgaz israfına örnekler",50,0.00,"LOW"
"yapay zeka video","yapay zeka ile video oluşturma ücretsiz türkçe",50,0.93,"MEDIUM"
"yapay zeka video","google yapay zeka ile video oluşturma",50,0.52,"MEDIUM"
"paraşüt entegrasyon","yengeç paraşüt",40,0.49,"MEDIUM"
"paraşüt entegrasyon","e-ticaret entegrasyon firmaları",40,3.33,"MEDIUM"
"trendyol entegrasyon","trendyol api key nasıl alınır",40,0.00,"MEDIUM"
"trendyol entegrasyon","trendyol-api github",40,0.00,"LOW"
"salesforce türkiye","ritmus sağlık",40,1.85,"LOW"
"salesforce türkiye","dokuz eylül aritmi merkezi",40,0.00,"LOW"
"n8n","n8n nedir nasıl kullanılır",40,0.22,"MEDIUM"
"ideasoft entegrasyon","pazar yeri tekniği nedir",40,0.00,"LOW"
"maliyet düşürme","ortalama maliyet hesaplama excel",40,0.13,"LOW"
"maliyet düşürme","hisse senedi ortalama maliyet hesaplama",40,0.21,"LOW"
"zaman tasarrufu","tasarrufun önemi ile ilgili yazı",40,0.00,"LOW"
"zaman tasarrufu","su tasarrufu nasıl yapılır maddeler halinde",40,0.00,"LOW"
"zaman tasarrufu","evde su tasarrufu nasıl yapılır",40,0.00,"LOW"
"zaman tasarrufu","doğalgaz ile ilgili cümleler",40,0.00,"LOW"
"zaman tasarrufu","doğalgaz tasarrufu nasıl yapılır maddeler halinde",40,0.00,"LOW"
"yapay zeka video","yapay zeka video oluşturma apk",40,0.40,"MEDIUM"
"paraşüt entegrasyon","yengeç entegrasyon iletişim",30,0.13,"LOW"
"paraşüt entegrasyon","paraşüt yorumlar",30,2.26,"LOW"
"paraşüt entegrasyon","pazaryeri entegrasyon tavsiye",30,2.06,"MEDIUM"
"trendyol entegrasyon","trendyol entegrasyon ücretsiz",30,1.49,"HIGH"
"trendyol entegrasyon","trendyol yemek entegrasyon",30,0.93,"MEDIUM"
"salesforce türkiye","salesforce ekşi",30,9.57,"LOW"
"salesforce türkiye","salesforce developer nedir",30,0.00,"MEDIUM"
"salesforce türkiye","ritmus sağlık ve eğitim teknolojileri",30,0.86,"LOW"
"n8n","n8n turkey",30,1.09,"MEDIUM"
"n8n","n8n fiyat",30,0.00,"LOW"
"n8n","n8n ücretsiz",30,0.42,"LOW"
"ideasoft entegrasyon","pazaryeri entegrasyon fiyatları",30,4.90,"HIGH"
"ideasoft entegrasyon","e-ticaret pazaryeri nedir",30,0.65,"MEDIUM"
"ideasoft entegrasyon","ticimax pazaryeri entegrasyonu",30,2.07,"MEDIUM"
"whatsapp bot","türk yapay zeka whatsapp",30,0.32,"MEDIUM"
"whatsapp bot","whatsapp meta al nedir ne işe yarar",30,0.00,"LOW"
"whatsapp bot","whatsapp meta al neden yok",30,0.94,"LOW"
"otomatik mesaj","instagram otomatik mesaj örnekleri",30,0.00,"LOW"
"otomatik mesaj","whatsapp business otomatik mesaj kapatma",30,1.10,"LOW"
"otomatik mesaj","whatsapp business otomatik mesaj örnekleri",30,0.20,"LOW"
"otomatik mesaj","whatsapp business otomatik mesaj gönderme",30,0.38,"MEDIUM"
"otomatik mesaj","gelen aramaya cevap vermediğim arayana otomatik mesaj gönderme android",30,0.00,"LOW"
"satış otomasyonu","satış otomasyonu",30,0.89,"MEDIUM"
"maliyet düşürme","maliyet düşürme teknikleri",30,0.05,"LOW"
"maliyet düşürme","maliyet düşürme nasıl hesaplanır",30,0.00,"LOW"
"maliyet düşürme","borsada al sat yaparak maliyet düşürmek",30,0.00,"LOW"
"zaman tasarrufu","zaman tasarrufu için neler yapmalıyız",30,0.00,"LOW"
"paraşüt entegrasyon","paraşüt trendyol entegrasyonu",20,0.32,"MEDIUM"
"trendyol entegrasyon","logo pazaryeri entegrasyon",20,0.00,"HIGH"
"salesforce türkiye","ritmus vr",20,1.58,"LOW"
"salesforce türkiye","emin evren özcan hangi hastanede",20,0.00,"LOW"
"n8n","n8n nasıl kurulur",20,0.00,"LOW"
"zapier","zapier ekşi",20,1.58,"LOW"
"zapier","login zapier",20,0.17,"MEDIUM"
"zapier","chatbot zapier",20,0.65,"MEDIUM"
"ideasoft entegrasyon","pazaryeri entegrasyon nedir",20,1.43,"MEDIUM"
"whatsapp bot","whatsapp yapay zeka numarası chatgpt",20,0.55,"MEDIUM"
"whatsapp bot","whatsapp meta al nasıl silinir redmi",20,0.00,"LOW"
"whatsapp sipariş","whatsapp satış yapmak",20,1.37,"MEDIUM"
"otomatik mesaj","iphone gelen aramayı mesajla reddetme",20,0.00,"LOW"
"zaman tasarrufu","tarımda su tasarrufu nasıl yapılır",20,0.00,"LOW"
"paraşüt entegrasyon","paraşüt shopside",10,0.53,"MEDIUM"
"paraşüt entegrasyon","paraşüt e-ticaret entegrasyonu",10,0.87,"MEDIUM"
"paraşüt entegrasyon","shopside nedir",10,0.00,"MEDIUM"
"paraşüt entegrasyon","yengeç app",10,0.06,"LOW"
"paraşüt entegrasyon","paraşüt avm",10,0.00,"LOW"
"paraşüt entegrasyon","en iyi entegrasyon programı",10,0.00,"HIGH"
"trendyol entegrasyon","logo trendyol entegrasyon",10,1.52,"MEDIUM"
"trendyol entegrasyon","hepsiburada trendyol entegrasyon",10,4.47,"HIGH"
"trendyol entegrasyon","trendyol entegrasyon nedir",10,0.00,"LOW"
"trendyol entegrasyon","trendyol entegrasyon programı",10,3.86,"HIGH"
"trendyol entegrasyon","logo e-ticaret entegrasyonu",10,1.51,"MEDIUM"
"trendyol entegrasyon","payer logo",10,0.00,"MEDIUM"
"salesforce türkiye","türkiye'de salesforce kullanan firmalar",10,3.84,"MEDIUM"
"salesforce türkiye","salesforce teknoloji trendyol",10,0.00,"MEDIUM"
"salesforce türkiye","salesforce türkiye partner",10,1.21,"MEDIUM"
"salesforce türkiye","salesforce developer iş ilanları",10,0.00,"UNKNOWN"
"salesforce türkiye","netaş salesforce",10,0.00,"UNKNOWN"
"salesforce türkiye","salesforce developer maaşları",10,0.00,"LOW"
"salesforce türkiye","salesforce cloud",10,0.00,"LOW"
"salesforce türkiye","salesforce f1",10,0.00,"MEDIUM"
"salesforce türkiye","salesforce login page",10,0.00,"LOW"
"salesforce türkiye","dokuz eylül aritmi",10,0.00,"LOW"
"salesforce türkiye","salesforce tr",10,6.07,"MEDIUM"
"salesforce türkiye","inspark kpn",10,0.00,"UNKNOWN"
"salesforce türkiye","salesforce partners turkey",10,0.00,"HIGH"
"n8n","n8n plus",10,0.00,"MEDIUM"
"n8n","n8n nedir ne ise yarar",10,0.33,"MEDIUM"
"n8n","n8n örnek",10,0.19,"MEDIUM"
"n8n","n8n github templates",10,0.05,"LOW"
"n8n","n8n github automation",10,0.00,"UNKNOWN"
"n8n","n8n github repository",10,0.00,"UNKNOWN"
"n8n","n8n github workflows",10,0.00,"UNKNOWN"
"n8n","n8n github docker",10,0.00,"LOW"
"n8n","n8n github download",10,0.00,"UNKNOWN"
"n8n","n8n github self-hosted",10,0.00,"UNKNOWN"
"zapier","zapier chatgpt",10,0.00,"MEDIUM"
"zapier","zapier otomasyon",10,0.81,"LOW"
"zapier","zapier marketplace",10,1.00,"MEDIUM"
"zapier","zapier ne ise yarar",10,0.00,"UNKNOWN"
"zapier","zapier nasıl kullanılır",10,0.77,"MEDIUM"
"ideasoft entegrasyon","yurtdışı pazaryeri entegrasyonu",10,0.00,"LOW"
"ideasoft entegrasyon","en iyi entegrasyon firması ekşi",10,0.00,"MEDIUM"
"ideasoft entegrasyon","pazaryeri entegrasyonu nasıl yapılır",10,0.00,"HIGH"
"ideasoft entegrasyon","en ucuz entegrasyon",10,1.24,"MEDIUM"
"ideasoft entegrasyon","entegrasyon firması nedir",10,0.00,"MEDIUM"
"whatsapp bot","whatsapp bot kurma",10,1.93,"MEDIUM"
"whatsapp bot","whatsapp yapay zeka türkçe yapma",10,0.31,"LOW"
"whatsapp bot","whatsapp meta al nedir ücretli mı",10,0.00,"LOW"
"whatsapp bot","whatsapp meta ai kapatma ios",10,0.00,"LOW"
"whatsapp sipariş","online sipariş ver",10,0.71,"MEDIUM"
"otomatik mesaj","otomatik mesaj örnekleri sms",10,0.00,"LOW"
"maliyet düşürme","borsada maliyet düşürme ne demek",10,0.00,"LOW"
"maliyet düşürme","paçal maliyet nasıl hesaplanır",10,0.00,"LOW"
"maliyet düşürme","ortalama maliyet hesaplama formülü",10,0.00,"LOW"
"maliyet düşürme","borsada maliyet düşürme mantıklı mi",10,0.00,"LOW"
"maliyet düşürme","hisse ortalama maliyet düşürme hesaplama",10,0.81,"MEDIUM"
"zaman tasarrufu","zaman tasarrufu ile ilgili sloganlar",10,0.00,"LOW"
"yapay zeka video","ücretsiz video düzenleme ai",10,0.91,"MEDIUM"